jean_size, 0-1, 0-1, 0-1, 0-1, 1-2, 1-2, 1-2, 1-2, 2-3, 2-3, 2-3, 2-3, 3-4, 3-4, 3-4, 3-4, 4-5, 4-5, 4-5, 4-5, 5-6, 5-6, 5-6, 5-6, 6-7, 6-7, 6-7, 6-7, 7-8, 7-8, 7-8, 7-8, 8-9, 8-9, 8-9, 8-9, 9-10, 9-10, 9-10, 9-10, 10-11, 10-11, 10-11, 10-11, 11-12, 11-12, 11-12, 11-12, 12-13, 12-13, 12-13, 12-13, 13-14, 13-14, 13-14, 13-14, 14-15, 14-15, 14-15, 14-15, 15-16, 15-16, 15-16, 15-16, 16-17, 16-17, 16-17, 16-17, 17-18, 17-18, 17-18, 17-18
weight-gain-range,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb,less-than-33-lb,34-to-50-lb,51-70-lb,over-70-lb
jean_size--weight-gain-ranges, 0-1--less-than-33-lb, 0-1--34-to-50-lb, 0-1--51-70-lb, 0-1--over-70-lb, 1-2--less-than-33-lb, 1-2--34-to-50-lb, 1-2--51-70-lb, 1-2--over-70-lb, 2-3--less-than-33-lb, 2-3--34-to-50-lb, 2-3--51-70-lb, 2-3--over-70-lb, 3-4--less-than-33-lb, 3-4--34-to-50-lb, 3-4--51-70-lb, 3-4--over-70-lb, 4-5--less-than-33-lb, 4-5--34-to-50-lb, 4-5--51-70-lb, 4-5--over-70-lb, 5-6--less-than-33-lb, 5-6--34-to-50-lb, 5-6--51-70-lb, 5-6--over-70-lb, 6-7--less-than-33-lb, 6-7--34-to-50-lb, 6-7--51-70-lb, 6-7--over-70-lb, 7-8--less-than-33-lb, 7-8--34-to-50-lb, 7-8--51-70-lb, 7-8--over-70-lb, 8-9--less-than-33-lb, 8-9--34-to-50-lb, 8-9--51-70-lb, 8-9--over-70-lb, 9-10--less-than-33-lb, 9-10--34-to-50-lb, 9-10--51-70-lb, 9-10--over-70-lb, 10-11--less-than-33-lb, 10-11--34-to-50-lb, 10-11--51-70-lb, 10-11--over-70-lb, 11-12--less-than-33-lb, 11-12--34-to-50-lb, 11-12--51-70-lb, 11-12--over-70-lb, 12-13--less-than-33-lb, 12-13--34-to-50-lb, 12-13--51-70-lb, 12-13--over-70-lb, 13-14--less-than-33-lb, 13-14--34-to-50-lb, 13-14--51-70-lb, 13-14--over-70-lb, 14-15--less-than-33-lb, 14-15--34-to-50-lb, 14-15--51-70-lb, 14-15--over-70-lb, 15-16--less-than-33-lb, 15-16--34-to-50-lb, 15-16--51-70-lb, 15-16--over-70-lb, 16-17--less-than-33-lb, 16-17--34-to-50-lb, 16-17--51-70-lb, 16-17--over-70-lb, 17-18--less-than-33-lb, 17-18--34-to-50-lb, 17-18--51-70-lb, 17-18--over-70-lb
hip_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.5,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Small,Small,Small,Small,Medium,Medium,Medium,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
33,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Small,Small,Small,Small,Medium,Medium,Medium,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
33.5,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Small,Small,Small,Small,Medium,Medium,Medium,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
34,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
34.5,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
35,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
35.5,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
36,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
36.5,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
37,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
37.5,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
38,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
38.5,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
39,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small ,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
39.5,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small ,Medium,Medium,Medium,Small ,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
